Year	Methane	CO2	Greenhouse
2015	55602.18908	797078	906752
2014	55805.75267	793636	902676
2013	56968.44398	832643	942004
2012	57634.08647	815197	924628
2011	57017.80907	810802	920305
2010	58143.85031	833685	942783
2009	58979.95733	789964	908184
2008	61234.73574	854421	975281
2007	62153.51701	852096	973429
2006	64461.66849	878747	1000325
2005	68356.63049	867224	993091
2004	71620.85545	887997	1018904
2003	76663.61961	901970	1035332
2002	80051.31237	900955	1038707
2001	84027.77688	917477	1059910
2000	87678.3625	900960	1044969
1999	92006.91301	896883	1047046
1998	92654.6059	924405	1080447
1997	97943.47878	932347	1106098
1996	102301.1947	960174	1141048
1995	104930.8569	940087	1123369
1994	107265.1524	940408	1126011
1993	111212.5804	956994	1145261
1992	110657.4146	966706	1154402
1991	114326.4955	1014972	1204779
1990	120226.6971	1052998	1251635